slt1, slt, Pass, ChrisDeverall, standard; exit code 1
slt2, slt, Pass, ChrisDeverall, standardneg; exit code 0
slt3, slt, Pass, ChrisDeverall, diffsigns; exit code 0
slt4, slt, Pass, ChrisDeverall, equal; exit code 0
slt5, slt, Fail, QFSW, exit code 0 (expected 1)
slti1, slti, Pass, ChrisDeverall, standard; exit code 1
slti2, slti, Pass, ChrisDeverall, standardneg; exit code 0
sltiu1, sltiu, Pass, ChrisDeverall, standard; exit code 1
sltiu2, sltiu, Fail, ChrisDeverall, standardneg; exit code 0 (expected 1)
sltiu3, sltiu, Pass, ChrisDeverall, standardneg; exit code 0
sltiu4, sltiu, Fail, QFSW, sign-extension; exit code 0 (expected 1)
sltu1, sltu, Pass, ChrisDeverall, standard; exit code 1
sltu2, sltu, Pass, ChrisDeverall, standardneg; exit code 0
sra1, sra, Pass, ChrisDeverall, standardpos; exit code 4
sra2, sra, Fail, ChrisDeverall, standardneg; exit code 0 (expected -2)
sra3, sra, Fail, ChrisDeverall, attemptToChangeSign; exit code 0 (expected -1)
srav1, srav, Pass, ChrisDeverall, standardpos; exit code 2
srav2, srav, Fail, ChrisDeverall, standardneg; exit code 0 (expected -4)
srav3, srav, Fail, ChrisDeverall, largevarpos; exit code 0 (expected 7)
srav4, srav, Fail, ChrisDeverall, largevarneg; exit code 0 (expected -3)
srl1, srl, Pass, ChrisDeverall, standardpos; exit code 8
srl2, srl, Fail, ChrisDeverall, standardneg; exit code 0 (expected -2)
srl3, srl, Fail, ChrisDeverall, signchange; exit code 0 (expected 1)
srlv1, srlv, Pass, ChrisDeverall, standardpos; exit code 2
srlv2, srlv, Fail, ChrisDeverall, standardneg; exit code 0 (expected -2)
srlv3, srlv, Fail, ChrisDeverall, largevar; exit code 0 (expected 7)
sub1, sub, Pass, QFSW, exit code 51
sub2, sub, Pass, ChrisDeverall, overflow; exit code -10
sub3, sub, Pass, QFSW, exit code 0
sub4, sub, Pass, ChrisDeverall, underflow; exit code -10
sub5, sub, Pass, ChrisDeverall, overflow; exit code -10
subu1, subu, Pass, ChrisDeverall, standard; exit code 16
subu2, subu, Fail, ChrisDeverall, standardneg; exit code 0 (expected 3)
